Rank_no,Movie_name,Release_Year,Certificate,Runtime_in_min,Genre,Metascore,Gross_in_$_M,Rating_from_10,Gross_numeric,Primary_Genre,Synthetic_Review,VADER_Negative,VADER_Neutral,VADER_Positive,VADER_Compound,VADER_Sentiment,Genre_Encoded,Certificate_Encoded,Decade
11,Jai Bhim,2021.0,TV-MA,164,"Crime, Drama, Mystery",80.0,233.0,8.8,233.0,Crime,"Brilliant filmmaking at its finest. The direction, acting, and crime storytelling are top-notch.",0.191,0.601,0.208,0.0772,Positive,5,14,2020.0
12,Inception,2010.0,PG-13,148,"Action, Adventure, Sci-Fi",74.0,292.58,8.8,292.58,Action,"Brilliant filmmaking at its finest. The direction, acting, and action storytelling are top-notch.",0.0,0.759,0.241,0.5859,Positive,0,10,2010.0
13,The Lord of the Rings: The Two Towers,2002.0,PG-13,179,"Action, Adventure, Drama",87.0,342.55,8.8,342.55,Action,The Lord of the Rings: The Two Towers is an absolute masterpiece! The action elements are perfectly executed. A must-watch!,0.0,0.67,0.33,0.8715,Positive,0,10,2000.0
14,Fight Club,1999.0,R,139,Drama,66.0,37.03,8.8,37.03,Drama,This movie deserves all the praise. Incredible performances and a gripping drama narrative.,0.0,0.769,0.231,0.5574,Positive,6,12,1990.0
15,The Lord of the Rings: The Fellowship of the Ring,2001.0,PG-13,178,"Action, Adventure, Drama",92.0,315.54,8.8,315.54,Action,"Brilliant filmmaking at its finest. The direction, acting, and action storytelling are top-notch.",0.0,0.759,0.241,0.5859,Positive,0,10,2000.0
16,Forrest Gump,1994.0,PG-13,142,"Drama, Romance",82.0,330.25,8.8,330.25,Drama,"Brilliant filmmaking at its finest. The direction, acting, and drama storytelling are top-notch.",0.0,0.759,0.241,0.5859,Positive,6,10,1990.0
17,"The Good, the Bad and the Ugly",1966.0,Approved,178,"Adventure, Western",90.0,6.1,8.8,6.1,Adventure,"The Good, the Bad and the Ugly is an absolute masterpiece! The adventure elements are perfectly executed. A must-watch!",0.201,0.384,0.416,0.8065,Positive,1,3,1960.0
18,Soorarai Pottru,2020.0,TV-MA,153,Drama,80.0,,8.7,25.54,Drama,I was blown away by Soorarai Pottru. One of the best drama movies I've ever seen.,0.0,0.781,0.219,0.6369,Positive,6,14,2020.0
19,The Matrix,1999.0,R,136,"Action, Sci-Fi",73.0,171.48,8.7,171.48,Action,"Brilliant filmmaking at its finest. The direction, acting, and action storytelling are top-notch.",0.0,0.759,0.241,0.5859,Positive,0,12,1990.0
20,Goodfellas,1990.0,R,145,"Biography, Crime, Drama",91.0,46.84,8.7,46.84,Biography,This movie deserves all the praise. Incredible performances and a gripping biography narrative.,0.0,0.769,0.231,0.5574,Positive,3,12,1990.0
21,Star Wars: Episode V - The Empire Strikes Back,1980.0,PG,124,"Action, Adventure, Fantasy",82.0,290.48,8.7,290.48,Action,Star Wars: Episode V - The Empire Strikes Back is an absolute masterpiece! The action elements are perfectly executed. A must-watch!,0.191,0.532,0.278,0.5837,Positive,0,9,1980.0
22,One Flew Over the Cuckoo's Nest,1975.0,R,133,Drama,84.0,112.0,8.7,112.0,Drama,This movie deserves all the praise. Incredible performances and a gripping drama narrative.,0.0,0.769,0.231,0.5574,Positive,6,12,1970.0
23,Sita Ramam,2022.0,U,163,"Action, Drama, Mystery",80.0,,8.6,25.54,Action,I was blown away by Sita Ramam. One of the best action movies I've ever seen.,0.0,0.781,0.219,0.6369,Positive,0,16,2020.0
24,Interstellar,2014.0,PG-13,169,"Adventure, Drama, Sci-Fi",74.0,188.02,8.6,188.02,Adventure,"Brilliant filmmaking at its finest. The direction, acting, and adventure storytelling are top-notch.",0.0,0.643,0.357,0.7269,Positive,1,10,2010.0
25,City of God,2002.0,R,130,"Crime, Drama",79.0,7.56,8.6,7.56,Crime,"Brilliant filmmaking at its finest. The direction, acting, and crime storytelling are top-notch.",0.191,0.601,0.208,0.0772,Positive,5,12,2000.0
26,Spirited Away,2001.0,PG,125,"Animation, Adventure, Family",96.0,10.06,8.6,10.06,Animation,I was blown away by Spirited Away. One of the best animation movies I've ever seen.,0.0,0.683,0.317,0.7579,Positive,2,9,2000.0
27,Saving Private Ryan,1998.0,R,169,"Drama, War",91.0,216.54,8.6,216.54,Drama,Saving Private Ryan is an absolute masterpiece! The drama elements are perfectly executed. A must-watch!,0.0,0.594,0.406,0.8715,Positive,6,12,1990.0
28,The Green Mile,1999.0,R,189,"Crime, Drama, Fantasy",61.0,136.8,8.6,136.8,Crime,The Green Mile is an absolute masterpiece! The crime elements are perfectly executed. A must-watch!,0.144,0.492,0.364,0.7494,Positive,5,12,1990.0
29,Life Is Beautiful,1997.0,PG-13,116,"Comedy, Drama, Romance",59.0,57.6,8.6,57.6,Comedy,Life Is Beautiful is an absolute masterpiece! The comedy elements are perfectly executed. A must-watch!,0.0,0.419,0.581,0.9458,Positive,4,10,1990.0
30,Se7en,1995.0,R,127,"Crime, Drama, Mystery",65.0,100.13,8.6,100.13,Crime,I was blown away by Se7en. One of the best crime movies I've ever seen.,0.169,0.628,0.203,0.1779,Positive,5,12,1990.0
31,Terminator 2: Judgment Day,1991.0,R,137,"Action, Sci-Fi",75.0,204.84,8.6,204.84,Action,This movie deserves all the praise. Incredible performances and a gripping action narrative.,0.0,0.769,0.231,0.5574,Positive,0,12,1990.0
32,The Silence of the Lambs,1991.0,R,118,"Crime, Drama, Thriller",85.0,130.74,8.6,130.74,Crime,The Silence of the Lambs is an absolute masterpiece! The crime elements are perfectly executed. A must-watch!,0.133,0.531,0.337,0.7494,Positive,5,12,1990.0
33,Star Wars: Episode IV - A New Hope,1977.0,PG,121,"Action, Adventure, Fantasy",90.0,322.74,8.6,322.74,Action,Star Wars: Episode IV - A New Hope is an absolute masterpiece! The action elements are perfectly executed. A must-watch!,0.115,0.51,0.375,0.8475,Positive,0,9,1970.0
34,Harakiri,1962.0,Not Rated,133,"Action, Drama, Mystery",85.0,44.0,8.6,44.0,Action,Harakiri is an absolute masterpiece! The action elements are perfectly executed. A must-watch!,0.0,0.553,0.447,0.8715,Positive,0,8,1960.0
35,Seven Samurai,1954.0,Not Rated,207,"Action, Drama",98.0,0.27,8.6,0.27,Action,"Brilliant filmmaking at its finest. The direction, acting, and action storytelling are top-notch.",0.0,0.759,0.241,0.5859,Positive,0,8,1950.0
36,It's a Wonderful Life,1946.0,PG,130,"Drama, Family, Fantasy",89.0,21.0,8.6,21.0,Drama,I was blown away by It's a Wonderful Life. One of the best drama movies I've ever seen.,0.0,0.669,0.331,0.836,Positive,6,9,1940.0
37,Kaithi,2019.0,Not Rated,145,"Action, Adventure, Crime",80.0,,8.5,25.54,Action,I was blown away by Kaithi. One of the best action movies I've ever seen.,0.0,0.769,0.231,0.6369,Positive,0,8,2010.0
38,96,,Not Rated,158,"Drama, Romance",80.0,,8.5,25.54,Drama,"Brilliant filmmaking at its finest. The direction, acting, and drama storytelling are top-notch.",0.0,0.759,0.241,0.5859,Positive,6,8,
39,Parasite,2019.0,R,132,"Drama, Thriller",96.0,53.37,8.5,53.37,Drama,This movie deserves all the praise. Incredible performances and a gripping drama narrative.,0.0,0.769,0.231,0.5574,Positive,6,12,2010.0
40,Whiplash,2014.0,R,106,"Drama, Music",89.0,13.09,8.5,13.09,Drama,This movie deserves all the praise. Incredible performances and a gripping drama narrative.,0.0,0.769,0.231,0.5574,Positive,6,12,2010.0
41,The Intouchables,2011.0,R,112,"Biography, Comedy, Drama",57.0,13.18,8.5,13.18,Biography,I was blown away by The Intouchables. One of the best biography movies I've ever seen.,0.0,0.781,0.219,0.6369,Positive,3,12,2010.0
42,The Prestige,2006.0,PG-13,130,"Drama, Mystery, Sci-Fi",66.0,53.09,8.5,53.09,Drama,This movie deserves all the praise. Incredible performances and a gripping drama narrative.,0.0,0.769,0.231,0.5574,Positive,6,10,2000.0
43,The Departed,2006.0,R,151,"Crime, Drama, Thriller",85.0,132.38,8.5,132.38,Crime,I was blown away by The Departed. One of the best crime movies I've ever seen.,0.161,0.645,0.194,0.1779,Positive,5,12,2000.0
44,The Pianist,2002.0,R,150,"Biography, Drama, Music",85.0,32.57,8.5,32.57,Biography,The Pianist is an absolute masterpiece! The biography elements are perfectly executed. A must-watch!,0.0,0.575,0.425,0.8715,Positive,3,12,2000.0
45,Gladiator,2000.0,R,155,"Action, Adventure, Drama",67.0,187.71,8.5,187.71,Action,Gladiator is an absolute masterpiece! The action elements are perfectly executed. A must-watch!,0.0,0.553,0.447,0.8715,Positive,0,12,2000.0
46,American History X,1998.0,R,119,"Crime, Drama",62.0,6.72,8.5,6.72,Crime,I was blown away by American History X. One of the best crime movies I've ever seen.,0.154,0.661,0.185,0.1779,Positive,5,12,1990.0
47,The Usual Suspects,1995.0,R,106,"Crime, Drama, Mystery",77.0,23.34,8.5,23.34,Crime,The Usual Suspects is an absolute masterpiece! The crime elements are perfectly executed. A must-watch!,0.229,0.427,0.345,0.6103,Positive,5,12,1990.0
48,Léon: The Professional,1994.0,R,110,"Action, Crime, Drama",64.0,19.5,8.5,19.5,Action,I was blown away by Léon: The Professional. One of the best action movies I've ever seen.,0.0,0.792,0.208,0.6369,Positive,0,12,1990.0
49,The Lion King,1994.0,G,88,"Animation, Adventure, Drama",88.0,422.78,8.5,422.78,Animation,The Lion King is an absolute masterpiece! The animation elements are perfectly executed. A must-watch!,0.0,0.594,0.406,0.8715,Positive,2,4,1990.0
50,Cinema Paradiso,1988.0,R,155,"Drama, Romance",80.0,11.99,8.5,11.99,Drama,This movie deserves all the praise. Incredible performances and a gripping drama narrative.,0.0,0.769,0.231,0.5574,Positive,6,12,1980.0
51,Grave of the Fireflies,1988.0,Not Rated,89,"Animation, Drama, War",94.0,45.0,8.5,45.0,Animation,This movie deserves all the praise. Incredible performances and a gripping animation narrative.,0.0,0.769,0.231,0.5574,Positive,2,8,1980.0
52,Back to the Future,1985.0,PG,116,"Adventure, Comedy, Sci-Fi",87.0,210.61,8.5,210.61,Adventure,I was blown away by Back to the Future. One of the best adventure movies I've ever seen.,0.0,0.711,0.289,0.7579,Positive,1,9,1980.0
53,Apocalypse Now,1979.0,R,147,"Drama, Mystery, War",94.0,83.47,8.5,83.47,Drama,"Brilliant filmmaking at its finest. The direction, acting, and drama storytelling are top-notch.",0.0,0.759,0.241,0.5859,Positive,6,12,1970.0
54,Alien,1979.0,R,117,"Horror, Sci-Fi",89.0,78.9,8.5,78.9,Horror,"Brilliant filmmaking at its finest. The direction, acting, and horror storytelling are top-notch.",0.2,0.595,0.205,0.0258,Neutral,10,12,1970.0
55,Once Upon a Time in the West,1968.0,PG-13,165,Western,80.0,5.32,8.5,5.32,Western,I was blown away by Once Upon a Time in the West. One of the best western movies I've ever seen.,0.0,0.826,0.174,0.6369,Positive,13,10,1960.0
56,Psycho,1960.0,R,109,"Horror, Mystery, Thriller",97.0,32.0,8.5,32.0,Horror,"Brilliant filmmaking at its finest. The direction, acting, and horror storytelling are top-notch.",0.2,0.595,0.205,0.0258,Neutral,10,12,1960.0
57,Rear Window,1954.0,PG,112,"Mystery, Thriller",100.0,36.76,8.5,36.76,Mystery,"Brilliant filmmaking at its finest. The direction, acting, and mystery storytelling are top-notch.",0.0,0.759,0.241,0.5859,Positive,11,9,1950.0
58,Casablanca,1942.0,PG,102,"Drama, Romance, War",100.0,1.02,8.5,1.02,Drama,"Brilliant filmmaking at its finest. The direction, acting, and drama storytelling are top-notch.",0.0,0.759,0.241,0.5859,Positive,6,9,1940.0
59,Modern Times,1936.0,G,87,"Comedy, Drama, Romance",96.0,0.16,8.5,0.16,Comedy,I was blown away by Modern Times. One of the best comedy movies I've ever seen.,0.0,0.676,0.324,0.7717,Positive,4,4,1930.0
60,City Lights,1931.0,G,87,"Comedy, Drama, Romance",99.0,0.02,8.5,0.02,Comedy,This movie deserves all the praise. Incredible performances and a gripping comedy narrative.,0.0,0.643,0.357,0.7269,Positive,4,4,1930.0
61,Asuran,2019.0,Not Rated,141,"Action, Drama",80.0,,8.4,25.54,Action,Pretty good movie with some memorable moments in the action genre.,0.0,0.596,0.404,0.7269,Positive,0,8,2010.0
62,Vikram,2022.0,UA,175,"Action, Crime, Thriller",80.0,,8.4,25.54,Action,Pretty good movie with some memorable moments in the action genre.,0.0,0.596,0.404,0.7269,Positive,0,17,2020.0
63,Hamilton,2020.0,PG-13,160,"Biography, Drama, History",89.0,107.0,8.4,107.0,Biography,Enjoyed watching this. Great biography elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,3,10,2020.0
64,Capernaum,2018.0,R,126,Drama,75.0,1.66,8.4,1.66,Drama,Enjoyed watching this. Great drama elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,6,12,2010.0
65,Joker,,R,122,"Crime, Drama, Thriller",59.0,335.45,8.4,335.45,Crime,Enjoyed watching this. Great crime elements and decent storyline.,0.207,0.355,0.438,0.5994,Positive,5,12,
66,Your Name.,2016.0,PG,106,"Animation, Drama, Fantasy",79.0,5.02,8.4,5.02,Animation,Your Name. is a solid animation film. Entertaining with good performances.,0.0,0.519,0.481,0.7506,Positive,2,9,2010.0
67,Spider-Man: Into the Spider-Verse,2018.0,PG,117,"Animation, Action, Adventure",87.0,190.24,8.4,190.24,Animation,Pretty good movie with some memorable moments in the animation genre.,0.0,0.596,0.404,0.7269,Positive,2,9,2010.0
68,Avengers: Endgame,2019.0,PG-13,181,"Action, Adventure, Drama",78.0,858.37,8.4,858.37,Action,Enjoyed watching this. Great action elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,0,10,2010.0
69,Avengers: Infinity War,2018.0,PG-13,149,"Action, Adventure, Sci-Fi",68.0,678.82,8.4,678.82,Action,Pretty good movie with some memorable moments in the action genre.,0.0,0.596,0.404,0.7269,Positive,0,10,2010.0
70,Coco,,PG,105,"Animation, Adventure, Comedy",81.0,209.73,8.4,209.73,Animation,Pretty good movie with some memorable moments in the animation genre.,0.0,0.596,0.404,0.7269,Positive,2,9,
71,Django Unchained,2012.0,R,165,"Drama, Western",81.0,162.81,8.4,162.81,Drama,Enjoyed watching this. Great drama elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,6,12,2010.0
72,Top Gun: Maverick,2022.0,PG-13,130,"Action, Drama",78.0,89.0,8.4,89.0,Action,Enjoyed watching this. Great action elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,0,10,2020.0
73,Kantara,2022.0,UA,148,"Action, Adventure, Drama",80.0,,8.4,25.54,Action,Kantara is a solid action film. Entertaining with good performances.,0.0,0.486,0.514,0.7506,Positive,0,17,2020.0
74,The Dark Knight Rises,2012.0,PG-13,164,"Action, Drama",78.0,448.14,8.4,448.14,Action,A good watch for action fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,0,10,2010.0
75,Drishyam 2,2021.0,13,152,"Crime, Drama, Thriller",80.0,,8.4,25.54,Crime,Enjoyed watching this. Great crime elements and decent storyline.,0.207,0.355,0.438,0.5994,Positive,5,0,2020.0
76,3 Idiots,2009.0,PG-13,170,"Comedy, Drama",67.0,6.53,8.4,6.53,Comedy,3 Idiots is a solid comedy film. Entertaining with good performances.,0.0,0.414,0.586,0.836,Positive,4,10,2000.0
77,Shershaah,2021.0,TV-14,135,"Action, Biography, Drama",80.0,,8.4,25.54,Action,Enjoyed watching this. Great action elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,0,13,2020.0
78,Sardar Udham,2021.0,TV-MA,164,"Biography, Crime, Drama",80.0,,8.4,25.54,Biography,Pretty good movie with some memorable moments in the biography genre.,0.0,0.596,0.404,0.7269,Positive,3,14,2020.0
79,Like Stars on Earth,2007.0,PG,165,"Drama, Family",80.0,1.22,8.4,1.22,Drama,Pretty good movie with some memorable moments in the drama genre.,0.0,0.596,0.404,0.7269,Positive,6,9,2000.0
80,WALL·E,2008.0,G,98,"Animation, Adventure, Family",95.0,223.81,8.4,223.81,Animation,A good watch for animation fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,2,4,2000.0
81,The Lives of Others,2006.0,R,137,"Drama, Mystery, Thriller",89.0,11.29,8.4,11.29,Drama,The Lives of Others is a solid drama film. Entertaining with good performances.,0.0,0.575,0.425,0.7506,Positive,6,12,2000.0
82,Oldboy,2003.0,R,101,"Action, Drama, Mystery",77.0,0.71,8.4,0.71,Action,Pretty good movie with some memorable moments in the action genre.,0.0,0.596,0.404,0.7269,Positive,0,12,2000.0
83,Memento,2000.0,R,113,"Mystery, Thriller",81.0,25.54,8.4,25.54,Mystery,A good watch for mystery fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,11,12,2000.0
84,American Beauty,1999.0,R,122,Drama,84.0,130.1,8.4,130.1,Drama,American Beauty is a solid drama film. Entertaining with good performances.,0.0,0.385,0.615,0.8807,Positive,6,12,1990.0
85,Princess Mononoke,1997.0,PG-13,134,"Animation, Action, Adventure",76.0,2.38,8.4,2.38,Animation,Enjoyed watching this. Great animation elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,2,10,1990.0
86,Braveheart,1995.0,R,178,"Biography, Drama, History",68.0,75.6,8.4,75.6,Biography,Enjoyed watching this. Great biography elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,3,12,1990.0
87,Come and See,1985.0,Not Rated,142,"Drama, Thriller, War",80.0,95.0,8.4,95.0,Drama,Come and See is a solid drama film. Entertaining with good performances.,0.0,0.549,0.451,0.7506,Positive,6,8,1980.0
88,Aliens,1986.0,R,137,"Action, Adventure, Sci-Fi",84.0,85.16,8.4,85.16,Action,Enjoyed watching this. Great action elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,0,12,1980.0
89,Amadeus,1984.0,R,160,"Biography, Drama, Music",88.0,51.97,8.4,51.97,Biography,Amadeus is a solid biography film. Entertaining with good performances.,0.0,0.486,0.514,0.7506,Positive,3,12,1980.0
90,Indiana Jones and the Raiders of the Lost Ark,1981.0,PG,115,"Action, Adventure",85.0,248.16,8.4,248.16,Action,Enjoyed watching this. Great action elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,0,9,1980.0
91,The Boat,1981.0,R,149,"Drama, War",86.0,11.49,8.4,11.49,Drama,Pretty good movie with some memorable moments in the drama genre.,0.0,0.596,0.404,0.7269,Positive,6,12,1980.0
92,The Shining,1980.0,R,146,"Drama, Horror",66.0,44.02,8.4,44.02,Drama,The Shining is a solid drama film. Entertaining with good performances.,0.0,0.519,0.481,0.7506,Positive,6,12,1980.0
93,High and Low,1963.0,Not Rated,143,"Crime, Drama, Mystery",90.0,87.0,8.4,87.0,Crime,High and Low is a solid crime film. Entertaining with good performances.,0.28,0.35,0.37,0.2023,Positive,5,8,1960.0
94,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964.0,PG,95,"Comedy, War",97.0,0.28,8.4,0.28,Comedy,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb is a solid comedy film. Entertaining with good performances.,0.125,0.381,0.493,0.926,Positive,4,9,1960.0
95,Witness for the Prosecution,1957.0,Approved,116,"Crime, Drama, Mystery",76.0,8.18,8.4,8.18,Crime,Pretty good movie with some memorable moments in the crime genre.,0.199,0.455,0.347,0.3818,Positive,5,3,1950.0
96,Paths of Glory,1957.0,Approved,88,"Drama, War",90.0,60.0,8.4,60.0,Drama,Pretty good movie with some memorable moments in the drama genre.,0.0,0.596,0.404,0.7269,Positive,6,3,1950.0
97,Sunset Blvd.,1950.0,Passed,110,"Drama, Film-Noir",80.0,59.0,8.4,59.0,Drama,Enjoyed watching this. Great drama elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,6,11,1950.0
98,The Great Dictator,1940.0,G,125,"Comedy, Drama, War",80.0,0.29,8.4,0.29,Comedy,The Great Dictator is a solid comedy film. Entertaining with good performances.,0.0,0.333,0.667,0.9186,Positive,4,4,1940.0
99,Chhichhore,2019.0,Not Rated,143,"Comedy, Drama, Romance",80.0,0.9,8.3,0.9,Comedy,Chhichhore is a solid comedy film. Entertaining with good performances.,0.0,0.377,0.623,0.836,Positive,4,8,2010.0
100,Raatchasan,2018.0,Not Rated,170,"Crime, Drama, Mystery",80.0,,8.3,25.54,Crime,Pretty good movie with some memorable moments in the crime genre.,0.199,0.455,0.347,0.3818,Positive,5,8,2010.0
101,Ayla: The Daughter of War,2017.0,,125,"Biography, Drama, History",80.0,,8.3,25.54,Biography,Enjoyed watching this. Great biography elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,3,18,2010.0
102,Vikram Vedha,2017.0,Not Rated,147,"Action, Crime, Drama",80.0,,8.3,25.54,Action,Pretty good movie with some memorable moments in the action genre.,0.0,0.596,0.404,0.7269,Positive,0,8,2010.0
103,Dangal,2016.0,Not Rated,161,"Action, Biography, Drama",80.0,12.39,8.3,12.39,Action,Pretty good movie with some memorable moments in the action genre.,0.0,0.596,0.404,0.7269,Positive,0,8,2010.0
104,Drishyam,2013.0,Not Rated,160,"Crime, Drama, Thriller",80.0,,8.3,25.54,Crime,Drishyam is a solid crime film. Entertaining with good performances.,0.207,0.355,0.438,0.4404,Positive,5,8,2010.0
105,The Hunt,2012.0,R,115,Drama,77.0,0.69,8.3,0.69,Drama,A good watch for drama fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,6,12,2010.0
106,A Separation,2011.0,PG-13,123,Drama,95.0,7.1,8.3,7.1,Drama,Enjoyed watching this. Great drama elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,6,10,2010.0
107,Incendies,2010.0,R,131,"Drama, Mystery",80.0,6.86,8.3,6.86,Drama,Pretty good movie with some memorable moments in the drama genre.,0.0,0.596,0.404,0.7269,Positive,6,12,2010.0
108,K.G.F: Chapter 2,2022.0,Not Rated,168,"Action, Crime, Drama",80.0,,8.3,25.54,Action,Enjoyed watching this. Great action elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,0,8,2020.0
109,Up,2009.0,PG,96,"Animation, Adventure, Comedy",88.0,293.0,8.3,293.0,Animation,Up is a solid animation film. Entertaining with good performances.,0.0,0.486,0.514,0.7506,Positive,2,9,2000.0
110,Toy Story 3,2010.0,G,103,"Animation, Adventure, Comedy",92.0,415.0,8.3,415.0,Animation,A good watch for animation fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,2,4,2010.0
111,Inglourious Basterds,2009.0,R,153,"Adventure, Drama, War",69.0,120.54,8.3,120.54,Adventure,Pretty good movie with some memorable moments in the adventure genre.,0.0,0.488,0.512,0.8126,Positive,1,12,2000.0
112,Eternal Sunshine of the Spotless Mind,2004.0,R,108,"Drama, Romance, Sci-Fi",89.0,34.4,8.3,34.4,Drama,Enjoyed watching this. Great drama elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,6,12,2000.0
113,Amélie,2001.0,R,122,"Comedy, Romance",69.0,33.23,8.3,33.23,Comedy,A good watch for comedy fans. Not perfect but definitely worth your time.,0.258,0.422,0.319,0.0423,Neutral,4,12,2000.0
114,Requiem for a Dream,2000.0,R,102,Drama,68.0,3.64,8.3,3.64,Drama,A good watch for drama fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,6,12,2000.0
115,Good Will Hunting,1997.0,R,126,"Drama, Romance",70.0,138.43,8.3,138.43,Drama,A good watch for drama fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,6,12,1990.0
116,Toy Story,1995.0,G,81,"Animation, Adventure, Comedy",95.0,191.8,8.3,191.8,Animation,A good watch for animation fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,2,4,1990.0
117,Heat,1995.0,R,170,"Action, Crime, Drama",76.0,67.44,8.3,67.44,Action,Enjoyed watching this. Great action elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,0,12,1990.0
118,Reservoir Dogs,1992.0,R,99,"Crime, Thriller",79.0,2.83,8.3,2.83,Crime,A good watch for crime fans. Not perfect but definitely worth your time.,0.367,0.412,0.221,-0.4284,Negative,5,12,1990.0
119,Full Metal Jacket,1987.0,R,116,"Drama, War",76.0,46.36,8.3,46.36,Drama,Full Metal Jacket is a solid drama film. Entertaining with good performances.,0.0,0.549,0.451,0.7506,Positive,6,12,1980.0
120,Once Upon a Time in America,1984.0,R,229,"Crime, Drama",75.0,5.32,8.3,5.32,Crime,Enjoyed watching this. Great crime elements and decent storyline.,0.207,0.355,0.438,0.5994,Positive,5,12,1980.0
121,Scarface,1983.0,R,170,"Crime, Drama",65.0,45.6,8.3,45.6,Crime,Scarface is a solid crime film. Entertaining with good performances.,0.207,0.355,0.438,0.4404,Positive,5,12,1980.0
122,Star Wars: Episode VI - Return of the Jedi,1983.0,PG,131,"Action, Adventure, Fantasy",58.0,309.13,8.3,309.13,Action,Enjoyed watching this. Great action elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,0,9,1980.0
123,The Sting,1973.0,PG,129,"Comedy, Crime, Drama",83.0,159.6,8.3,159.6,Comedy,Enjoyed watching this. Great comedy elements and decent storyline.,0.0,0.377,0.623,0.872,Positive,4,9,1970.0
